xxxxxxxxxx                        x
xxxxxxxxxx                        x
xxx                               x
xxx   p                           x
xxxxx                             x
x     xxxxxxxxxx                  x
x     xxxxx                       x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x                                 x
x           xxxxx                 x
x        xxxxxxxxxx               x
x       xxxxxxxxxxxxx             x
x       xxxxxxxxxxxxxx            x
x         xxxxxxxxxx              x
x             x                   x
x             x                   x
x             x                   x
x             x                   x
x      xxxxxxxx                   x
